0,Id,Sentiment,Tweet
1,1248832966136127489,0.0,
2,1248832966492672001,0.0,
3,1248832966635278336,0.0,
4,1248832967092273153,0.0,"RT @Colonel_cavalry: #突撃ラブハート
ネット上でF信者と⊿信者の不毛な争いを目の当たりにしましたが、そのどちらも、初代でさえ主題であるはずの「歌」がただの添え物。
歌で全てを解決してしまったバサラが至高😆
「お前に、ラブハァァァァァァァト！！」 https…"
5,1248832967033511936,0.43333333333333300,Uses: Qualatrile Blue Nitrile puncture resistant gloves are static dissipative in nature and are great for use in a… https://t.co/pkkxhX5ub5
6,1248832967624949760,0.4,"RT @sanjayjaiswalMP: #ThankYouCoronaWarriors
Showing us light at the end of the tunnel are our Corona Warriors. Join the movement of thanki…"
7,1248832968270831618,0.5,
8,1248832968476356608,0.0,If u had corona I’d still kiss you. 🥺🥰
9,1248832969743228933,0.0,
10,1248832969801789440,-0.5,RT @Shehzad_Ind: It is highly unfair.. criminally unfair.. suits some though.. the silence .. secular liberal silence &amp; silence in the medi…
11,1248832970137296901,0.0,
12,1248832970145910784,0.5,
13,1248832970531713024,0.0,Weekend hangovers during corona times be like... #jesterchronicles #andthat https://t.co/YUQ4u1cIAb
14,1248832973060833280,0.1,RT @michellemalkin: Translation: Gates wants to foist a corona vaccine on  entire world knowing it will have deleterious side effects on mi…
15,1248832974734405632,0.0,RT @VIKRAMPRATAPSIN: If you listen to this story of Ramayana you will actually visualise how @narendramodi is behaving as Bhakt of Shri ram…
16,1248832975334035456,-0.5,RT @Shehzad_Ind: It is highly unfair.. criminally unfair.. suits some though.. the silence .. secular liberal silence &amp; silence in the medi…
17,1248832975774666752,0.11,"CHINA - KENYA 2021 AND BEYOND
The BIG Question is:
Can the world survive without China, can Kenya survive economica… https://t.co/x7P9aN3vSi"
18,1248832977993252864,0.0,"RT @yehlog: On 8th April, 3 men in an auto came to a checkpost at KR Pet (Mandya district), told officials they were Muslims, threatened to…"
19,1248832977984872448,0.05,"RT @virsanghvi: On February 12. Was he wrong?
Draw your own conclusions."
20,1248832978261692422,0.1,
21,1248832978173792256,0.9,So the POTUS is acknowledging that he is not that brilliant afterall😂😂😂 https://t.co/6VLHhanpBg
22,1248832983504539651,0.0,
23,1248832984678948864,0.5,"RT @BDUTT: ""More than 50% of Telangana cases linked to the Tablighi Jamaat"" says @KTRTRS ""but that cannot translate into the phobia of a co…"
24,1248832986734362630,0.1,
25,1248832987493470210,0.125,
26,1248832987849822209,-0.0294444444444445,
27,1248832989360017408,-0.291666666666667,corona hitting my mom hard
